Nutrient/Item,Reg_Prov,Sex,Age (years),n,DRI type,Prefix-EN,Percentage,SE,E flag,Ref value,Ref value unit_EN
Potassium,Saskatchewan,Female,19 years and over,455,AI,Above,39.1,4.2,,2600,mg/d
Potassium,Saskatchewan,Males and females combined,19 years and over,875,AI,Above,33.2,2.5,,,
Potassium,Alberta,Male,19 years and over,701,AI,Above,30.8,2.6,,3400,mg/d
Potassium,Alberta,Female,19 years and over,696,AI,Above,29.5,3.6,,2600,mg/d
Potassium,Alberta,Males and females combined,19 years and over,1397,AI,Above,30.2,2.2,,,
Potassium,British Columbia,Male,19 years and over,840,AI,Above,32.2,2.7,,3400,mg/d
Potassium,British Columbia,Female,19 years and over,830,AI,Above,35.6,2.8,,2600,mg/d
Potassium,British Columbia,Males and females combined,19 years and over,1670,AI,Above,33.9,2,,,
Sodium,Canada excluding territories,Male,19 years and over,6193,CDRR,Above,80.9,1.7,,2300,mg/d
Sodium,Canada excluding territories,Female,19 years and over,6841,CDRR,Above,46.7,1.7,,2300,mg/d
Sodium,Canada excluding territories,Males and females combined,19 years and over,13034,CDRR,Above,63.8,1.2,,2300,mg/d
Sodium,Newfoundland and Labrador,Male,19 years and over,400,CDRR,Above,75.8,3.1,,2300,mg/d
Sodium,Newfoundland and Labrador,Female,19 years and over,426,CDRR,Above,42.1,4.1,,2300,mg/d
Sodium,Newfoundland and Labrador,Males and females combined,19 years and over,826,CDRR,Above,58.8,2.8,,2300,mg/d
Sodium,Prince Edward Island,Male,19 years and over,313,CDRR,Above,84.4,2.7,,2300,mg/d
Sodium,Prince Edward Island,Female,19 years and over,371,CDRR,Above,45,3.6,,2300,mg/d
Sodium,Prince Edward Island,Males and females combined,19 years and over,684,CDRR,Above,64.5,2.4,,2300,mg/d
Sodium,Nova Scotia,Male,19 years and over,422,CDRR,Above,86,2.7,,2300,mg/d
Sodium,Nova Scotia,Female,19 years and over,534,CDRR,Above,50.9,3.8,,2300,mg/d
Sodium,Nova Scotia,Males and females combined,19 years and over,956,CDRR,Above,68,2.4,,2300,mg/d
Sodium,New Brunswick,Male,19 years and over,371,CDRR,Above,81.3,3,,2300,mg/d
Sodium,New Brunswick,Female,19 years and over,463,CDRR,Above,47.4,3.5,,2300,mg/d
Sodium,New Brunswick,Males and females combined,19 years and over,834,CDRR,Above,64.2,2.1,,2300,mg/d
Sodium,Quebec,Male,19 years and over,1009,CDRR,Above,87.6,1.7,,2300,mg/d
Sodium,Quebec,Female,19 years and over,1113,CDRR,Above,59.6,2.7,,2300,mg/d
Sodium,Quebec,Males and females combined,19 years and over,2122,CDRR,Above,73.6,1.6,,2300,mg/d
Sodium,Ontario,Male,19 years and over,1321,CDRR,Above,76,2.2,,2300,mg/d
Sodium,Ontario,Female,19 years and over,1489,CDRR,Above,39.9,2.3,,2300,mg/d
Sodium,Ontario,Males and females combined,19 years and over,2810,CDRR,Above,57.7,1.6,,2300,mg/d
Sodium,Manitoba,Male,19 years and over,396,CDRR,Above,84.5,2.5,,2300,mg/d
Sodium,Manitoba,Female,19 years and over,464,CDRR,Above,49.8,3.7,,2300,mg/d
Sodium,Manitoba,Males and females combined,19 years and over,860,CDRR,Above,67.3,2.2,,2300,mg/d
Sodium,Saskatchewan,Male,19 years and over,420,CDRR,Above,84.7,2.6,,2300,mg/d
Sodium,Saskatchewan,Female,19 years and over,455,CDRR,Above,50.8,4.6,,2300,mg/d
Sodium,Saskatchewan,Males and females combined,19 years and over,875,CDRR,Above,68,2.8,,2300,mg/d
Sodium,Alberta,Male,19 years and over,701,CDRR,Above,80,2.7,,2300,mg/d
Sodium,Alberta,Female,19 years and over,696,CDRR,Above,40.2,3.7,,2300,mg/d
Sodium,Alberta,Males and females combined,19 years and over,1397,CDRR,Above,61,2.4,,2300,mg/d
Sodium,British Columbia,Male,19 years and over,840,CDRR,Above,81.5,2.3,,2300,mg/d
Sodium,British Columbia,Female,19 years and over,830,CDRR,Above,47.6,3.3,,2300,mg/d
Sodium,British Columbia,Males and females combined,19 years and over,1670,CDRR,Above,64.4,1.9,,2300,mg/d
Vitamin A,Canada excluding territories,Male,19 years and over,6193,EAR,Below,45.3,2.3,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Canada excluding territories,Female,19 years and over,6841,EAR,Below,37.7,2.1,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,41.5,1.6,,,
Vitamin A,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,59.7,3.6,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,59.2,3.8,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,59.5,2.8,,,
Vitamin A,Prince Edward Island,Male,19 years and over,313,EAR,Below,42.8,4,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Prince Edward Island,Female,19 years and over,371,EAR,Below,38.6,3.6,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,40.7,2.8,,,
Vitamin A,Nova Scotia,Male,19 years and over,422,EAR,Below,43.5,3.5,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Nova Scotia,Female,19 years and over,534,EAR,Below,34.5,4.5,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,38.9,3.1,,,
Vitamin A,New Brunswick,Male,19 years and over,371,EAR,Below,40.5,4,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,New Brunswick,Female,19 years and over,463,EAR,Below,37.6,3.8,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,39.1,2.7,,,
Vitamin A,Quebec,Male,19 years and over,1009,EAR,Below,32.5,3.3,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Quebec,Female,19 years and over,1113,EAR,Below,25.9,3.1,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Quebec,Males and females combined,19 years and over,2122,EAR,Below,29.2,2.3,,,
Vitamin A,Ontario,Male,19 years and over,1321,EAR,Below,53.8,3,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Ontario,Female,19 years and over,1489,EAR,Below,42.8,2.6,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Ontario,Males and females combined,19 years and over,2810,EAR,Below,48.3,2,,,
Vitamin A,Manitoba,Male,19 years and over,396,EAR,Below,47.2,4,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Manitoba,Female,19 years and over,464,EAR,Below,41.2,3.5,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Manitoba,Males and females combined,19 years and over,860,EAR,Below,44.2,2.7,,,
Vitamin A,Saskatchewan,Male,19 years and over,420,EAR,Below,44.1,4.1,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Saskatchewan,Female,19 years and over,455,EAR,Below,34.2,3.9,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,39.2,3,,,
Vitamin A,Alberta,Male,19 years and over,701,EAR,Below,46.6,3.5,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,Alberta,Female,19 years and over,696,EAR,Below,42.8,3.9,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,Alberta,Males and females combined,19 years and over,1397,EAR,Below,44.8,2.7,,,
Vitamin A,British Columbia,Male,19 years and over,840,EAR,Below,41.5,3.3,,625,mcg/d (Retinol Activity Equivalents)
Vitamin A,British Columbia,Female,19 years and over,830,EAR,Below,37.8,3.4,,500,mcg/d (Retinol Activity Equivalents)
Vitamin A,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,39.6,2.5,,,
Vitamin C,Canada excluding territories,Male,19 years and over,6193,EAR,Below,39.6,1.7,,75,mg/d
Vitamin C,Canada excluding territories,Female,19 years and over,6841,EAR,Below,28.6,2,,60,mg/d
Vitamin C,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,34.1,1.3,,,
Vitamin C,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,49.9,3.4,,75,mg/d
Vitamin C,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,37.8,3.5,,60,mg/d
Vitamin C,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,43.8,2.4,,,
Vitamin C,Prince Edward Island,Male,19 years and over,313,EAR,Below,54,3.2,,75,mg/d
Vitamin C,Prince Edward Island,Female,19 years and over,371,EAR,Below,41,3.5,,60,mg/d
Vitamin C,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,47.4,2.4,,,
Vitamin C,Nova Scotia,Male,19 years and over,422,EAR,Below,43.1,2.8,,75,mg/d
Vitamin C,Nova Scotia,Female,19 years and over,534,EAR,Below,40.9,3.3,,60,mg/d
Vitamin C,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,42,2.2,,,
Vitamin C,New Brunswick,Male,19 years and over,371,EAR,Below,51.6,3.7,,75,mg/d
Vitamin C,New Brunswick,Female,19 years and over,463,EAR,Below,36.1,3.7,,60,mg/d
Vitamin C,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,43.8,2.5,,,
Vitamin C,Quebec,Male,19 years and over,1009,EAR,Below,31.8,2.6,,75,mg/d
Vitamin C,Quebec,Female,19 years and over,1113,EAR,Below,19,2.4,,60,mg/d
Vitamin C,Quebec,Males and females combined,19 years and over,2122,EAR,Below,25.4,1.8,,,
Vitamin C,Ontario,Male,19 years and over,1321,EAR,Below,39.9,2.2,,75,mg/d
Vitamin C,Ontario,Female,19 years and over,1489,EAR,Below,30.1,2.4,,60,mg/d
Vitamin C,Ontario,Males and females combined,19 years and over,2810,EAR,Below,34.9,1.6,,,
Vitamin C,Manitoba,Male,19 years and over,396,EAR,Below,48.3,3,,75,mg/d
Vitamin C,Manitoba,Female,19 years and over,464,EAR,Below,37.1,3.6,,60,mg/d
Vitamin C,Manitoba,Males and females combined,19 years and over,860,EAR,Below,42.7,2.3,,,
Vitamin C,Saskatchewan,Male,19 years and over,420,EAR,Below,48.5,3.6,,75,mg/d
Vitamin C,Saskatchewan,Female,19 years and over,455,EAR,Below,33.8,3.5,,60,mg/d
Vitamin C,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,41.3,2.5,,,
Vitamin C,Alberta,Male,19 years and over,701,EAR,Below,44.4,3.1,,75,mg/d
Vitamin C,Alberta,Female,19 years and over,696,EAR,Below,34.8,3,,60,mg/d
Vitamin C,Alberta,Males and females combined,19 years and over,1397,EAR,Below,39.8,2.1,,,
Vitamin C,British Columbia,Male,19 years and over,840,EAR,Below,40,2.9,,75,mg/d
Vitamin C,British Columbia,Female,19 years and over,830,EAR,Below,27.5,2.7,,60,mg/d
Vitamin C,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,33.7,2,,,
Vitamin D,Canada excluding territories,Male,19 years and over,6193,EAR,Below,94.1,0.9,,10,mcg/d
Vitamin D,Canada excluding territories,Female,19 years and over,6841,EAR,Below,98.5,0.4,,10,mcg/d
Vitamin D,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,96.3,0.5,,10,mcg/d
Vitamin D,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,93.5,1.5,,10,mcg/d
Vitamin D,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,98.8,0.6,,10,mcg/d
Vitamin D,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,96.1,0.8,,10,mcg/d
Vitamin D,Prince Edward Island,Male,19 years and over,313,EAR,Below,88.9,2,,10,mcg/d
Vitamin D,Prince Edward Island,Female,19 years and over,371,EAR,Below,97.5,0.7,,10,mcg/d
Vitamin D,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,93.3,1,,10,mcg/d
Vitamin D,Nova Scotia,Male,19 years and over,422,EAR,Below,90.7,1.5,,10,mcg/d
Vitamin D,Nova Scotia,Female,19 years and over,534,EAR,Below,97.6,0.8,,10,mcg/d
Vitamin D,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,94.3,0.9,,10,mcg/d
Vitamin D,New Brunswick,Male,19 years and over,371,EAR,Below,89.6,1.9,,10,mcg/d
Vitamin D,New Brunswick,Female,19 years and over,463,EAR,Below,97.1,0.8,,10,mcg/d
Vitamin D,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,93.4,1,,10,mcg/d
Vitamin D,Quebec,Male,19 years and over,1009,EAR,Below,92.1,1.4,,10,mcg/d
Vitamin D,Quebec,Female,19 years and over,1113,EAR,Below,97.6,0.7,,10,mcg/d
Vitamin D,Quebec,Males and females combined,19 years and over,2122,EAR,Below,94.8,0.8,,10,mcg/d
Vitamin D,Ontario,Male,19 years and over,1321,EAR,Below,95.6,0.9,,10,mcg/d
Vitamin D,Ontario,Female,19 years and over,1489,EAR,Below,99,0.4,,10,mcg/d
Vitamin D,Ontario,Males and females combined,19 years and over,2810,EAR,Below,97.3,0.5,,10,mcg/d
Vitamin D,Manitoba,Male,19 years and over,396,EAR,Below,94.7,1.3,,10,mcg/d
Vitamin D,Manitoba,Female,19 years and over,464,EAR,Below,98,0.6,,10,mcg/d
Vitamin D,Manitoba,Males and females combined,19 years and over,860,EAR,Below,96.3,0.7,,10,mcg/d
Vitamin D,Saskatchewan,Male,19 years and over,420,EAR,Below,93.3,2,,10,mcg/d
Vitamin D,Saskatchewan,Female,19 years and over,455,EAR,Below,97.2,0.8,,10,mcg/d
Vitamin D,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,95.2,1.1,,10,mcg/d
Vitamin D,Alberta,Male,19 years and over,701,EAR,Below,95.6,1.1,,10,mcg/d
Vitamin D,Alberta,Female,19 years and over,696,EAR,Below,99,0.4,,10,mcg/d
Vitamin D,Alberta,Males and females combined,19 years and over,1397,EAR,Below,97.2,0.6,,10,mcg/d
Vitamin D,British Columbia,Male,19 years and over,840,EAR,Below,94,1.3,,10,mcg/d
Vitamin D,British Columbia,Female,19 years and over,830,EAR,Below,98.9,0.4,,10,mcg/d
Vitamin D,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,96.4,0.7,,10,mcg/d
Zinc,Canada excluding territories,Male,19 years and over,6193,EAR,Below,23.2,2.1,,9.4,mg/d
Zinc,Canada excluding territories,Female,19 years and over,6841,EAR,Below,19.5,2.6,,6.8,mg/d
Zinc,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,21.4,1.7,,,
Zinc,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,34.9,4.4,,9.4,mg/d
Zinc,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,28.1,4.5,,6.8,mg/d
Zinc,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,31.5,3.4,,,
Zinc,Prince Edward Island,Male,19 years and over,313,EAR,Below,26.2,3.4,,9.4,mg/d
Zinc,Prince Edward Island,Female,19 years and over,371,EAR,Below,21.6,3.5,,6.8,mg/d
Zinc,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,23.9,2.4,,,
Zinc,Nova Scotia,Male,19 years and over,422,EAR,Below,21.2,3.3,,9.4,mg/d
Zinc,Nova Scotia,Female,19 years and over,534,EAR,Below,19.3,3.6,E,6.8,mg/d
Zinc,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,20.2,2.5,,,
Zinc,New Brunswick,Male,19 years and over,371,EAR,Below,24.3,3.4,,9.4,mg/d
Zinc,New Brunswick,Female,19 years and over,463,EAR,Below,22.9,3.7,,6.8,mg/d
Zinc,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,23.6,2.5,,,
Zinc,Quebec,Male,19 years and over,1009,EAR,Below,20.4,2.8,,9.4,mg/d
Zinc,Quebec,Female,19 years and over,1113,EAR,Below,15.5,2.8,E,6.8,mg/d
Zinc,Quebec,Males and females combined,19 years and over,2122,EAR,Below,17.9,2,,,
Zinc,Ontario,Male,19 years and over,1321,EAR,Below,26.5,2.6,,9.4,mg/d
Zinc,Ontario,Female,19 years and over,1489,EAR,Below,21.9,2.9,,6.8,mg/d
Zinc,Ontario,Males and females combined,19 years and over,2810,EAR,Below,24.2,2,,,
Zinc,Manitoba,Male,19 years and over,396,EAR,Below,22.6,3.4,,9.4,mg/d
Zinc,Manitoba,Female,19 years and over,464,EAR,Below,22.6,3.9,E,6.8,mg/d
Zinc,Manitoba,Males and females combined,19 years and over,860,EAR,Below,22.6,2.6,,,
Zinc,Saskatchewan,Male,19 years and over,420,EAR,Below,24.3,3.8,,9.4,mg/d
Zinc,Saskatchewan,Female,19 years and over,455,EAR,Below,12.3,3.3,E,6.8,mg/d
Zinc,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,18.4,2.6,,,
Zinc,Alberta,Male,19 years and over,701,EAR,Below,17.8,2.5,,9.4,mg/d
Zinc,Alberta,Female,19 years and over,696,EAR,Below,19.2,3.5,E,6.8,mg/d
Zinc,Alberta,Males and females combined,19 years and over,1397,EAR,Below,18.5,2.1,,,
Zinc,British Columbia,Male,19 years and over,840,EAR,Below,22.4,2.7,,9.4,mg/d
Zinc,British Columbia,Female,19 years and over,830,EAR,Below,19.3,3.5,E,6.8,mg/d
Zinc,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,20.8,2.2,,,
Vitamin B6,Canada excluding territories,Male,19 years and over,6193,EAR,Below,12,1.4,,,
Vitamin B6,Canada excluding territories,Female,19 years and over,6841,EAR,Below,30,2,,,
Vitamin B6,Canada excluding territories,Males and females combined,19 years and over,13034,EAR,Below,21,1.2,,,
Vitamin B6,Newfoundland and Labrador,Male,19 years and over,400,EAR,Below,19.8,2.7,,,
Vitamin B6,Newfoundland and Labrador,Female,19 years and over,426,EAR,Below,39.7,4.2,,,
Vitamin B6,Newfoundland and Labrador,Males and females combined,19 years and over,826,EAR,Below,29.8,2.5,,,
Vitamin B6,Prince Edward Island,Male,19 years and over,313,EAR,Below,19.7,2.7,,,
Vitamin B6,Prince Edward Island,Female,19 years and over,371,EAR,Below,34.6,3.5,,,
Vitamin B6,Prince Edward Island,Males and females combined,19 years and over,684,EAR,Below,27.2,2.2,,,
Vitamin B6,Nova Scotia,Male,19 years and over,422,EAR,Below,14.4,2.2,,,
Vitamin B6,Nova Scotia,Female,19 years and over,534,EAR,Below,35.9,3.5,,,
Vitamin B6,Nova Scotia,Males and females combined,19 years and over,956,EAR,Below,25.4,2.1,,,
Vitamin B6,New Brunswick,Male,19 years and over,371,EAR,Below,15.7,2.7,E,,
Vitamin B6,New Brunswick,Female,19 years and over,463,EAR,Below,37.9,3.1,,,
Vitamin B6,New Brunswick,Males and females combined,19 years and over,834,EAR,Below,26.9,1.9,,,
Vitamin B6,Quebec,Male,19 years and over,1009,EAR,Below,10.8,1.5,,,
Vitamin B6,Quebec,Female,19 years and over,1113,EAR,Below,24.5,2.3,,,
Vitamin B6,Quebec,Males and females combined,19 years and over,2122,EAR,Below,17.7,1.4,,,
Vitamin B6,Ontario,Male,19 years and over,1321,EAR,Below,13,1.7,,,
Vitamin B6,Ontario,Female,19 years and over,1489,EAR,Below,31.2,2.5,,,
Vitamin B6,Ontario,Males and females combined,19 years and over,2810,EAR,Below,22.2,1.5,,,
Vitamin B6,Manitoba,Male,19 years and over,396,EAR,Below,15.9,2.4,,,
Vitamin B6,Manitoba,Female,19 years and over,464,EAR,Below,34.8,3.4,,,
Vitamin B6,Manitoba,Males and females combined,19 years and over,860,EAR,Below,25.2,2.1,,,
Vitamin B6,Saskatchewan,Male,19 years and over,420,EAR,Below,18.9,2.9,,,
Vitamin B6,Saskatchewan,Female,19 years and over,455,EAR,Below,29.1,3.9,,,
Vitamin B6,Saskatchewan,Males and females combined,19 years and over,875,EAR,Below,23.9,2.4,,,
Vitamin B6,Alberta,Male,19 years and over,701,EAR,Below,8.5,1.7,E,,
Vitamin B6,Alberta,Female,19 years and over,696,EAR,Below,35.2,3.4,,,
Vitamin B6,Alberta,Males and females combined,19 years and over,1397,EAR,Below,21.2,1.8,,,
Vitamin B6,British Columbia,Male,19 years and over,840,EAR,Below,9.4,1.6,E,,
Vitamin B6,British Columbia,Female,19 years and over,830,EAR,Below,27.3,2.9,,,
Vitamin B6,British Columbia,Males and females combined,19 years and over,1670,EAR,Below,18.4,1.6,,,
Calcium,Canada excluding territories,Males and females combined,1 to 8 years,2487,EAR,Below,24.6,1.8,,,
Calcium,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,EAR,Below,27.8,3.9,,,
Calcium,Prince Edward Island,Males and females combined,1 to 8 years,163,EAR,Below,20.2,3.9,E,,
Calcium,Nova Scotia,Males and females combined,1 to 8 years,172,EAR,Below,24,3.8,,,
Calcium,New Brunswick,Males and females combined,1 to 8 years,145,EAR,Below,24,4,E,,
Calcium,Quebec,Males and females combined,1 to 8 years,393,EAR,Below,20,2.6,,,
Calcium,Ontario,Males and females combined,1 to 8 years,449,EAR,Below,28.1,2.5,,,
Calcium,Manitoba,Males and females combined,1 to 8 years,194,EAR,Below,21.8,3.3,,,
Calcium,Saskatchewan,Males and females combined,1 to 8 years,222,EAR,Below,28.4,3.4,,,
Calcium,Alberta,Males and females combined,1 to 8 years,316,EAR,Below,23.2,3.2,,,
Calcium,British Columbia,Males and females combined,1 to 8 years,282,EAR,Below,23.3,3,,,
Percentage of total energy intake from carbohydrates,Canada excluding territories,Males and females combined,1 to 8 years,2487,AMDR,Within,95.2,1.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,AMDR,Within,96.9,1.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Prince Edward Island,Males and females combined,1 to 8 years,163,AMDR,Within,96.3,1.5,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Nova Scotia,Males and females combined,1 to 8 years,172,AMDR,Within,95.4,1.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,New Brunswick,Males and females combined,1 to 8 years,145,AMDR,Within,95.4,1.9,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Quebec,Males and females combined,1 to 8 years,393,AMDR,Within,94.4,1.6,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Ontario,Males and females combined,1 to 8 years,449,AMDR,Within,95.6,1.4,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Manitoba,Males and females combined,1 to 8 years,194,AMDR,Within,96.1,1.4,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Saskatchewan,Males and females combined,1 to 8 years,222,AMDR,Within,94.8,1.8,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,Alberta,Males and females combined,1 to 8 years,316,AMDR,Within,96,1.3,,45 - 65,% of total energy intake
Percentage of total energy intake from carbohydrates,British Columbia,Males and females combined,1 to 8 years,282,AMDR,Within,94.6,1.5,,45 - 65,% of total energy intake
Percentage of total energy intake from fat,Canada excluding territories,Males and females combined,1 to 8 years,2487,AMDR,Within,80.1,2.7,,,
Percentage of total energy intake from fat,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,AMDR,Within,79.3,3.6,,,
Percentage of total energy intake from fat,Prince Edward Island,Males and females combined,1 to 8 years,163,AMDR,Within,81.6,3.1,,,
Percentage of total energy intake from fat,Nova Scotia,Males and females combined,1 to 8 years,172,AMDR,Within,82.7,3.6,,,
Percentage of total energy intake from fat,New Brunswick,Males and females combined,1 to 8 years,145,AMDR,Within,80,3.4,,,
Percentage of total energy intake from fat,Quebec,Males and females combined,1 to 8 years,393,AMDR,Within,79.7,3,,,
Percentage of total energy intake from fat,Ontario,Males and females combined,1 to 8 years,449,AMDR,Within,79.5,3,,,
Percentage of total energy intake from fat,Manitoba,Males and females combined,1 to 8 years,194,AMDR,Within,78.3,2.9,,,
Percentage of total energy intake from fat,Saskatchewan,Males and females combined,1 to 8 years,222,AMDR,Within,82.5,3,,,
Percentage of total energy intake from fat,Alberta,Males and females combined,1 to 8 years,316,AMDR,Within,80,3,,,
Percentage of total energy intake from fat,British Columbia,Males and females combined,1 to 8 years,282,AMDR,Within,82.4,2.8,,,
Percentage of total energy intake from protein,Canada excluding territories,Males and females combined,1 to 8 years,2487,AMDR,Within,98.9,0.8,,,
Percentage of total energy intake from protein,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,AMDR,Within,99.5,0.6,,,
Percentage of total energy intake from protein,Prince Edward Island,Males and females combined,1 to 8 years,163,AMDR,Within,99.2,0.7,,,
Percentage of total energy intake from protein,Nova Scotia,Males and females combined,1 to 8 years,172,AMDR,Within,99.2,0.9,,,
Percentage of total energy intake from protein,New Brunswick,Males and females combined,1 to 8 years,145,AMDR,Within,98.8,1.1,,,
Percentage of total energy intake from protein,Quebec,Males and females combined,1 to 8 years,393,AMDR,Within,98.4,1.1,,,
Percentage of total energy intake from protein,Ontario,Males and females combined,1 to 8 years,449,AMDR,Within,98.9,0.9,,,
Percentage of total energy intake from protein,Manitoba,Males and females combined,1 to 8 years,194,AMDR,Within,99.3,0.9,,,
Percentage of total energy intake from protein,Saskatchewan,Males and females combined,1 to 8 years,222,AMDR,Within,99.1,0.8,,,
Percentage of total energy intake from protein,Alberta,Males and females combined,1 to 8 years,316,AMDR,Within,99.6,0.6,,,
Percentage of total energy intake from protein,British Columbia,Males and females combined,1 to 8 years,282,AMDR,Within,98.8,0.9,,,
Potassium,Canada excluding territories,Males and females combined,1 to 8 years,2487,AI,Above,47.1,3.6,,,
Potassium,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,AI,Above,47,6.1,,,
Potassium,Prince Edward Island,Males and females combined,1 to 8 years,163,AI,Above,45.4,6.7,,,
Potassium,Nova Scotia,Males and females combined,1 to 8 years,172,AI,Above,44.8,6.2,,,
Potassium,New Brunswick,Males and females combined,1 to 8 years,145,AI,Above,55.1,7,,,
Potassium,Quebec,Males and females combined,1 to 8 years,393,AI,Above,58,5.5,,,
Potassium,Ontario,Males and females combined,1 to 8 years,449,AI,Above,43,5.2,,,
Potassium,Manitoba,Males and females combined,1 to 8 years,194,AI,Above,43.6,5.3,,,
Potassium,Saskatchewan,Males and females combined,1 to 8 years,222,AI,Above,43.3,6.9,,,
Potassium,Alberta,Males and females combined,1 to 8 years,316,AI,Above,39.6,5.8,,,
Potassium,British Columbia,Males and females combined,1 to 8 years,282,AI,Above,49,5.8,,,
Sodium,Canada excluding territories,Males and females combined,1 to 8 years,2487,CDRR,Above,92.6,2.3,,,
Sodium,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,CDRR,Above,95.7,2.1,,,
Sodium,Prince Edward Island,Males and females combined,1 to 8 years,163,CDRR,Above,95.7,2.4,,,
Sodium,Nova Scotia,Males and females combined,1 to 8 years,172,CDRR,Above,94.9,2.2,,,
Sodium,New Brunswick,Males and females combined,1 to 8 years,145,CDRR,Above,96.8,2,,,
Sodium,Quebec,Males and females combined,1 to 8 years,393,CDRR,Above,92.4,2.4,,,
Sodium,Ontario,Males and females combined,1 to 8 years,449,CDRR,Above,91.6,2.7,,,
Sodium,Manitoba,Males and females combined,1 to 8 years,194,CDRR,Above,94,2.4,,,
Sodium,Saskatchewan,Males and females combined,1 to 8 years,222,CDRR,Above,95.4,2.1,,,
Sodium,Alberta,Males and females combined,1 to 8 years,316,CDRR,Above,91.7,2.9,,,
Sodium,British Columbia,Males and females combined,1 to 8 years,282,CDRR,Above,94.4,2.3,,,
Vitamin D,Canada excluding territories,Males and females combined,1 to 8 years,2487,EAR,Below,94,0.8,,10,mcg/d
Vitamin D,Newfoundland and Labrador,Males and females combined,1 to 8 years,151,EAR,Below,95.5,1.3,,10,mcg/d
